@RELATION CDNA_MICROARRAY
@ATTRIBUTE Array_ID string @PRIMARY
@ATTRIBUTE cDNA_Sequence string @REFERENCE GENE.DNA_Sequence
@ATTRIBUTE Treatment {HeatStress, Pathogen, Control}
@ATTRIBUTE Hybridizations {Cy3, Cy5}
@ATTRIBUTE Data { R, N, I } 
@ATTRIBUTE Normalization {Log, LogCenter, Threshold}
@ATTRIBUTE Regulation {Up, Down, Neither}

@DATA
Seq_243, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_244, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_245, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_246, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_247, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_248, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_249, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_250, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_251, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_252, P7, Pathway_3, chalcone_synthase, Os2g00011, Oryza_sativa,             RICE3
Seq_253, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_254, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_255, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_256, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_257, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_258, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_259, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_260, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_261, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_262, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_263, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_264, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_265, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_266, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_267, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_268, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_269, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_270, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_271, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_272, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_273, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_274, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_275, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_276, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_277, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_278, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_279, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_280, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_281, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_282, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_283, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_284, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_285, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_286, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_287, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_288, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3


@RELATION PROTEIN
@ATTRIBUTE Protein_ID string @PRIMARY
@ATTRIBUTE Canonical_Name string
@ATTRIBUTE Role {Enzyme, TranscriptionFactor, Other}

@DATA
P0, unknown,           Other
P1, chalcone_synthase, Enzyme
P2, trans_factor1,     TranscriptionFactor
P3, trans_factor2,     TranscriptionFactor
P4, trans_factor3,     TranscriptionFactor
P5, cAMP_kinase1,      Enzyme
P6, cAMP_kinase2,      Enzyme
P7, cAMP_kinase3,      Enzyme
P8, unknown,           Other
P9, chalcone_synthase, Enzyme
P10, trans_factor1,     TranscriptionFactor
P11, trans_factor2,     TranscriptionFactor
P12, trans_factor3,     TranscriptionFactor
P13, cAMP_kinase1,      Enzyme
P14, cAMP_kinase2,      Enzyme
P15, cAMP_kinase3,      Enzyme
P16, unknown,           Other
P17, chalcone_synthase, Enzyme
P18, trans_factor1,     TranscriptionFactor
P19, trans_factor2,     TranscriptionFactor
P20, trans_factor3,     TranscriptionFactor
P21, cAMP_kinase1,      Enzyme
P22, cAMP_kinase2,      Enzyme
P23, cAMP_kinase3,      Enzyme
P24, unknown,           Other
P25, chalcone_synthase, Enzyme
P26, trans_factor1,     TranscriptionFactor
P27, trans_factor2,     Enzyme
P28, trans_factor3,     TranscriptionFactor
P29, cAMP_kinase1,      Enzyme
P30, cAMP_kinase2,      Enzyme
P31, cAMP_kinase3,      Enzyme
P32, unknown,           Other
P33, chalcone_synthase, Enzyme
P34, trans_factor1,     TranscriptionFactor
P35, trans_factor2,     TranscriptionFactor
P36, trans_factor3,     Other
P37, cAMP_kinase1,      Enzyme
P38, cAMP_kinase2,      Enzyme
P39, cAMP_kinase3,      Enzyme
P40, unknown,           Other
P41, chalcone_synthase, Enzyme
P42, trans_factor1,     TranscriptionFactor
P43, trans_factor2,     TranscriptionFactor
P44, trans_factor3,     TranscriptionFactor
P45, trans_factor1,      Enzyme
P46, cAMP_kinase2,      Enzyme
P47, cAMP_kinase3,      Enzyme
P48, unknown,           Other
P49, chalcone_synthase, Enzyme
P50, trans_factor1,     TranscriptionFactor
P51, trans_factor2,     TranscriptionFactor
P52, trans_factor3,     TranscriptionFactor
P53, cAMP_kinase1,      Enzyme
P54, cAMP_kinase2,      Enzyme
P55, cAMP_kinase3,      Enzyme
P56, unknown,           Other
P57, chalcone_synthase, Enzyme
P58, trans_factor1,     TranscriptionFactor
P59, trans_factor2,     TranscriptionFactor
P60, trans_factor3,     TranscriptionFactor
P61, cAMP_kinase1,      Enzyme
P62, cAMP_kinase2,      Enzyme
P63, cAMP_kinase3,      Enzyme
P64, unknown,           Other
P65, chalcone_synthase, Enzyme
P66, trans_factor1,     TranscriptionFactor
P67, trans_factor2,     TranscriptionFactor
P68, trans_factor3,     TranscriptionFactor
P69, cAMP_kinase1,      Enzyme
P70, cAMP_kinase2,      Enzyme
P71, cAMP_kinase3,      Enzyme
P72, unknown,           Other
P73, chalcone_synthase, Enzyme
P74, trans_factor1,     TranscriptionFactor
P75, trans_factor2,     TranscriptionFactor
P76, trans_factor3,     TranscriptionFactor
P77, cAMP_kinase1,      Enzyme
P78, cAMP_kinase2,      Enzyme
P79, cAMP_kinase3,      Enzyme
P80, unknown,           Other
P81, chalcone_synthase, Enzyme
P82, trans_factor1,     TranscriptionFactor
P83, trans_factor2,     TranscriptionFactor
P84, trans_factor3,     TranscriptionFactor
P85, cAMP_kinase1,      Enzyme
P86, cAMP_kinase2,      Enzyme
P87, cAMP_kinase3,      Enzyme
P88, unknown,           Other
P89, chalcone_synthase, Enzyme
P90, trans_factor1,     TranscriptionFactor
P91, trans_factor2,     Enzyme
P92, trans_factor3,     TranscriptionFactor
P93, cAMP_kinase1,      Enzyme
P94, cAMP_kinase2,      Enzyme
P95, cAMP_kinase3,      Enzyme
P96, unknown,           Other
P97, chalcone_synthase, Enzyme
P98, unknown,     TranscriptionFactor
P99, trans_factor2,     TranscriptionFactor
P100, trans_factor3,     Other
P101, cAMP_kinase1,      Enzyme
P102, cAMP_kinase2,      Enzyme
P103, cAMP_kinase3,      Enzyme
P104, unknown,           Other
P105, chalcone_synthase, Enzyme
P106, trans_factor1,     TranscriptionFactor
P107, trans_factor2,     TranscriptionFactor
P108, trans_factor3,     TranscriptionFactor
P109, trans_factor1,      Enzyme
P110, cAMP_kinase2,      Enzyme
P111, cAMP_kinase3,      Enzyme
P112, unknown,           Other
P113, chalcone_synthase, Enzyme
P114, trans_factor1,     TranscriptionFactor
P115, trans_factor2,     TranscriptionFactor
P116, trans_factor3,     TranscriptionFactor
P117, cAMP_kinase1,      Enzyme
P118, cAMP_kinase2,      Enzyme
P119, cAMP_kinase3,      Enzyme
P120, unknown,           Other
P121, chalcone_synthase, Enzyme
P122, trans_factor1,     TranscriptionFactor
P123, trans_factor2,     TranscriptionFactor
P124, trans_factor3,     Other
P125, cAMP_kinase1,      Enzyme
P126, cAMP_kinase2,      Enzyme
P127, cAMP_kinase3,      Enzyme
P128, unknown,           Other
P129, chalcone_synthase, Enzyme
P130, trans_factor1,     TranscriptionFactor
P131, trans_factor2,     TranscriptionFactor
P132, trans_factor3,     TranscriptionFactor
P133, cAMP_kinase1,      Enzyme
P134, cAMP_kinase2,      Enzyme
P135, cAMP_kinase3,      Enzyme
P136, unknown,           Other
P137, chalcone_synthase, Enzyme
P138, trans_factor1,     TranscriptionFactor
P139, trans_factor2,     TranscriptionFactor
P140, trans_factor3,     TranscriptionFactor
P141, cAMP_kinase1,      Enzyme
P142, cAMP_kinase2,      Enzyme
P143, cAMP_kinase3,      Enzyme
P144, unknown,           Other
P145, chalcone_synthase, Enzyme
P146, trans_factor1,     TranscriptionFactor
P147, trans_factor2,     TranscriptionFactor
P148, trans_factor3,     TranscriptionFactor
P149, cAMP_kinase1,      Enzyme
P150, cAMP_kinase2,      Enzyme
P151, cAMP_kinase3,      Enzyme
P152, unknown,           Other
P153, chalcone_synthase, Enzyme
P154, trans_factor1,     TranscriptionFactor
P155, trans_factor2,     Enzyme
P156, trans_factor3,     TranscriptionFactor
P157, cAMP_kinase1,      Enzyme
P158, cAMP_kinase2,      Enzyme
P159, cAMP_kinase3,      Enzyme
P160, unknown,           Other
P161, chalcone_synthase, Enzyme
P162, trans_factor1,     TranscriptionFactor
P163, trans_factor2,     TranscriptionFactor
P164, trans_factor3,     Other
P165, cAMP_kinase1,      Enzyme
P166, cAMP_kinase2,      Enzyme
P167, cAMP_kinase3,      Enzyme
P168, unknown,           Other
P169, chalcone_synthase, Enzyme
P170, trans_factor1,     TranscriptionFactor
P171, trans_factor2,     TranscriptionFactor
P172, trans_factor3,     TranscriptionFactor
P173, trans_factor1,      Enzyme
P174, cAMP_kinase2,      Enzyme
P175, cAMP_kinase3,      Enzyme
P176, unknown,           Other
P177, chalcone_synthase, Enzyme
P178, chalcone_synthase,     Enzyme
P179, trans_factor2,     TranscriptionFactor
P180, trans_factor3,     TranscriptionFactor
P181, cAMP_kinase1,      Enzyme
P182, cAMP_kinase2,      Enzyme
P183, cAMP_kinase3,      Enzyme
P184, unknown,           Other
P185, chalcone_synthase, Enzyme
P186, trans_factor1,     TranscriptionFactor
P187, trans_factor2,     TranscriptionFactor
P188, trans_factor3,     TranscriptionFactor
P189, cAMP_kinase1,      Enzyme
P190, cAMP_kinase2,      Enzyme
P191, cAMP_kinase3,      Enzyme
P192, unknown,           Other
P193, chalcone_synthase, Enzyme
P194, trans_factor1,     TranscriptionFactor
P195, trans_factor2,     TranscriptionFactor
P196, trans_factor3,     TranscriptionFactor
P197, cAMP_kinase1,      Enzyme
P198, cAMP_kinase2,      Enzyme
P199, cAMP_kinase3,      Enzyme
P200, unknown,           Other
P201, chalcone_synthase, Enzyme
P202, trans_factor1,     TranscriptionFactor
P203, cAMP_kinase3,     TranscriptionFactor
P204, trans_factor3,     TranscriptionFactor
P205, cAMP_kinase1,      Enzyme
P206, cAMP_kinase2,      Enzyme
P207, cAMP_kinase3,      Enzyme
P208, unknown,           Other
P209, chalcone_synthase, Enzyme
P210, trans_factor1,     TranscriptionFactor
P211, trans_factor2,     TranscriptionFactor
P212, trans_factor3,     TranscriptionFactor
P213, cAMP_kinase1,      Enzyme
P214, cAMP_kinase2,      Enzyme
P215, cAMP_kinase3,      Enzyme
P216, unknown,           Other
P217, chalcone_synthase, Enzyme
P218, trans_factor1,     TranscriptionFactor
P219, trans_factor2,     Enzyme
P220, trans_factor3,     TranscriptionFactor
P221, cAMP_kinase1,      Enzyme
P222, cAMP_kinase2,      Enzyme
P223, cAMP_kinase3,      Enzyme
P224, unknown,           Other
P225, chalcone_synthase, Enzyme
P226, trans_factor1,     TranscriptionFactor
P227, trans_factor2,     TranscriptionFactor
P228, trans_factor3,     Other
P229, cAMP_kinase1,      Enzyme
P230, cAMP_kinase2,      Enzyme
P231, cAMP_kinase3,      Enzyme
P232, unknown,           Other
P233, chalcone_synthase, Enzyme
P234, trans_factor1,     TranscriptionFactor
P235, trans_factor2,     TranscriptionFactor
P236, trans_factor3,     TranscriptionFactor
P237, trans_factor1,      Enzyme
P238, cAMP_kinase2,      Enzyme
P239, cAMP_kinase3,      Enzyme
P240, unknown,           Other
P241, chalcone_synthase, Enzyme
P242, trans_factor1,     TranscriptionFactor
P243, trans_factor2,     TranscriptionFactor
P244, trans_factor3,     TranscriptionFactor
P245, cAMP_kinase1,      Enzyme
P246, cAMP_kinase2,      Enzyme
P247, cAMP_kinase3,      Enzyme
P248, unknown,           Other
P249, chalcone_synthase, Enzyme
P250, trans_factor1,     Other
P251, trans_factor2,     TranscriptionFactor
P252, trans_factor3,     TranscriptionFactor
P253, cAMP_kinase1,      Enzyme
P254, cAMP_kinase2,      Enzyme
P255, cAMP_kinase3,      Enzyme

@RELATION PATHWAY
@ATTRIBUTE Pathway_ID string @PRIMARY
@ATTRIBUTE Pathway_Name string
@ATTRIBUTE Pathway_Descriptor string

@DATA
Pathway_1,  chalcone_synthase,       chalcone_synthase
Pathway_2,  mitosis,                 cell_reproduction_cycle
Pathway_3,  flowering_time_control,  plant_development
Pathway_4,  vernalization,           plant_development
Pathway_5,  gibberellin,             plant_development
Pathway_6,  defense_response1,       plant_immune_defense
Pathway_7,  defense_response2,       plant_immune_defense
Pathway_8,  defense_response3,       plant_immune_defense
Pathway_9,  aptosis1,                programmed_cell_death
Pathway_10, aptosis2,                programmed_cell_death 
Pathway_11, insect_mating_behavior1, insect_mating_behavior
Pathway_12, insect_mating_behavior2, insect_mating_behavior
Pathway_13,  chalcone_synthase,       chalcone_synthase
Pathway_14,  mitosis,                 cell_reproduction_cycle
Pathway_15,  flowering_time_control,  plant_development
Pathway_16,  vernalization,           plant_development
Pathway_17,  gibberellin,             plant_development
Pathway_18,  aptosis2,       plant_immune_defense
Pathway_19,  defense_response2,       plant_immune_defense
Pathway_20,  defense_response3,       plant_immune_defense
Pathway_21,  aptosis1,                programmed_cell_death
Pathway_22, aptosis2,                programmed_cell_death 
Pathway_23, insect_mating_behavior1, insect_mating_behavior
Pathway_24, insect_mating_behavior2, insect_mating_behavior
